table_name,time_predic,activeIKWH
ConsPlanGRID,2024-03-06 10:30:00,0.3
ConsPlanGRID,2024-03-06 11:00:00,0.28
ConsPlanGRID,2024-03-06 11:30:00,0.29
ConsPlanGRID,2024-03-06 12:00:00,0.25
ConsPlanGRID,2024-03-06 12:30:00,0.15
ConsPlanGRID,2024-03-06 13:00:00,0.14
ConsPlanGRID,2024-03-06 13:30:00,0.14
ConsPlanGRID,2024-03-06 14:00:00,0.17
ConsPlanGRID,2024-03-06 14:30:00,0.26
ConsPlanGRID,2024-03-06 15:00:00,0.21
ConsPlanGRID,2024-03-06 15:30:00,0.64
ConsPlanGRID,2024-03-06 16:00:00,1.24
ConsPlanGRID,2024-03-06 16:30:00,1.94
ConsPlanGRID,2024-03-06 17:00:00,1.66
ConsPlanGRID,2024-03-06 17:30:00,1.73
ConsPlanGRID,2024-03-06 18:00:00,1.72
ConsPlanGRID,2024-03-06 18:30:00,1.72
ConsPlanGRID,2024-03-06 19:00:00,1.73
ConsPlanGRID,2024-03-06 19:30:00,1.72
ConsPlanGRID,2024-03-06 20:00:00,1.72
ConsPlanGRID,2024-03-06 20:30:00,1.72
ConsPlanGRID,2024-03-06 21:00:00,1.72
ConsPlanGRID,2024-03-06 21:30:00,1.77
ConsPlanGRID,2024-03-06 22:00:00,2.74
ConsPlanGRID,2024-03-06 22:30:00,2.94
ConsPlanGRID,2024-03-06 23:00:00,2.96
ConsPlanGRID,2024-03-06 23:30:00,2.9
